#{"t_start": 1775208254.219152, "env_id": "AstroExploration-v0"}
r,l,t
-80.711108,514,2.80251
-49.341857,551,5.310985
29.88961,554,7.830662
53.138986,546,14.52528
149.473989,690,17.68873
116.850233,651,20.628603
82.752175,553,23.140112
-15.618817,684,30.417667
-66.528213,556,57.949863
488.471429,968,66.664432
12.832951,593,69.308683
309.22198,836,73.0354
85.726424,645,80.10235
446.591778,918,84.106925
493.964724,1120,125.194938
226.714983,878,129.032906
199.59347,795,132.560801
717.430071,1465,143.259191
-34.120809,554,145.71849
966.462308,1828,168.366501
1118.230962,1994,181.481696
26.433764,631,188.535958
411.563918,1057,193.29412
284.124357,895,207.989593
366.011864,1249,217.987366
561.284474,1193,227.865396
395.441275,1045,232.867197
200.660053,871,241.129033
445.010766,1018,261.130721
271.564217,815,269.118413
52.737911,697,272.210541
133.800396,682,275.348631
16.471152,633,282.460652
1107.745273,2334,308.390455
190.133112,791,312.035055
60.190985,698,315.392988
56.544204,713,323.409528
306.967479,887,327.40767
212.651493,904,346.931647
310.152975,777,351.551894
536.954675,1200,361.300293
393.73199,924,365.452087
559.747812,1530,376.740348
180.420998,924,398.694941
240.26795,784,409.694544
214.52847,819,413.352537
107.723384,699,416.459014
71.970874,676,423.964468
417.206225,981,429.981289
90.04999,639,432.847255
211.603735,822,469.303812
377.575474,1334,480.054973
250.706447,803,483.843283
692.046963,1450,494.657827
357.971739,993,514.562794
191.094651,883,522.967638
186.76213,1000,527.60042
362.039884,1136,537.385276
303.539004,960,541.704627
273.121565,1029,560.143209
212.734141,949,564.549506
341.147697,942,568.725168
457.228239,1168,578.11964
121.915933,800,581.625513
271.212933,1061,611.264387
420.233164,1071,616.022285
166.56462,824,623.931024
420.580186,1050,628.377278
262.941212,712,635.813407
295.854618,772,639.219709
247.988088,1040,668.317796
880.969714,1429,674.720867
205.446551,812,682.452621
588.248553,1084,687.319232
216.456548,881,695.364335
579.074061,1154,727.787244
194.403559,786,735.507386
231.99478,826,739.202828
524.832808,1415,749.595525
178.886036,949,783.357486
404.694975,1088,792.552201
255.388907,871,796.429885
207.678086,987,804.995263
391.760116,1138,810.229933
221.833906,748,818.258718
242.892292,988,837.739871
452.619765,1137,847.107963
320.627513,948,851.311451
461.716986,963,855.624403
49.838828,606,862.551707
314.785853,919,882.791162
118.46936,778,890.774091
317.957381,994,895.288916
941.078079,1941,908.311886
367.843937,931,934.380585
488.796712,1213,939.876292
255.680627,967,948.442267
414.044243,906,952.444324
329.741031,948,957.399445
568.761092,1015,995.049405
268.292608,858,998.985242
537.65305,1532,1010.295317
434.315738,1239,1020.272527
19.946743,756,1023.597859
