#{"t_start": 1775199331.5098999, "env_id": "AstroExploration-v0"}
r,l,t
-54.924465,515,2.399602
-17.002982,553,4.848299
-12.146946,548,7.426548
-41.893962,542,13.771037
-31.792221,572,16.43967
-52.408298,602,19.259872
-25.15094,543,21.589069
-17.17764,562,28.117808
14.894085,583,151.670282
159.972424,810,155.33208
-4.706266,513,165.608512
39.558921,584,169.077236
127.929212,624,171.923516
87.202441,581,174.382856
-57.577112,514,182.31078
-17.916414,528,184.762406
-8.315624,578,187.929795
160.233543,830,246.521902
910.517448,1564,253.435333
52.254004,650,261.092473
292.794412,878,264.94153
497.747729,1054,273.854345
580.628517,1190,336.747797
254.786009,862,344.639837
209.007637,884,348.493885
34.997233,520,350.699379
374.876074,1133,359.607826
82.57573,557,361.999154
619.283089,1012,425.792113
-56.106619,471,427.899536
154.329436,663,430.807922
95.710218,596,437.68758
18.85724,484,439.749327
388.411322,1260,445.43422
33.236605,640,452.295743
224.575434,889,499.038452
81.258654,689,502.686424
161.205843,706,521.136159
130.863588,801,527.755612
496.596811,1206,540.069902
-2.120122,691,543.92573
226.748409,781,572.735666
441.93443,1028,579.391142
-39.342701,533,582.411445
499.870958,1325,593.120949
464.62853,1359,645.059209
599.032976,1378,651.669736
181.997801,889,659.707391
551.791123,1263,665.225747
207.593019,1085,673.986122
254.710318,949,723.805328
313.16873,1059,735.64919
253.482986,1170,741.384377
162.939948,758,749.110295
887.109114,2231,840.310401
394.847451,1175,846.883767
139.17947,716,855.413309
233.841966,1034,860.731785
449.659777,1224,870.141196
113.881421,742,924.495766
308.910807,871,934.560062
796.694409,1528,942.916776
274.616552,956,952.259151
391.862318,980,994.515823
348.251687,1088,1003.491373
124.818758,694,1007.096177
358.891524,1069,1016.235152
395.809051,1037,1020.795311
477.36372,1049,1029.780504
201.967518,967,1113.969221
238.164184,858,1124.39895
350.265956,1021,1129.78006
285.293439,1014,1141.120244
536.902294,1215,1172.502133
193.578637,780,1183.868801
106.456135,781,1188.32236
315.651219,1050,1200.552604
304.952657,1146,1207.127786
325.871772,1054,1217.444077
369.347859,1107,1304.561622
367.890665,1096,1314.633765
92.202458,738,1318.25103
148.024023,777,1323.769885
12.336591,398,1331.996137
257.193274,875,1337.439682
314.124739,990,1483.660274
125.053774,597,1486.447629
383.549373,1281,1492.336698
332.118693,1289,1502.592775
365.444568,1129,1649.947067
468.047933,1451,1659.465916
51.290409,656,1667.613662
57.053347,587,1670.791664
98.013102,641,1674.093792
226.171994,851,1683.179064
464.920049,1331,1832.526042
309.696389,966,1842.516431
113.620794,1031,1847.465214
226.781568,868,1856.180876
746.629733,1619,1950.82303
446.150997,945,1955.183789
177.842391,868,1959.502126
609.820593,1607,1971.932894
465.631305,1124,1981.995569
259.811721,712,2133.195714
539.196818,1052,2144.347927
600.693353,1275,2151.283578
423.419327,1112,2160.982252
446.068196,953,2165.412601
