#{"t_start": 1775204635.0544698, "env_id": "AstroExploration-v0"}
r,l,t
41.273346,565,7.85367
-68.114975,462,13.566351
-19.658623,503,19.718635
150.049876,585,47.769127
-40.451138,504,54.030746
211.469271,634,61.881466
110.920758,525,68.475944
89.161677,575,93.803479
36.672303,536,100.329787
-11.280131,555,226.167217
63.058922,660,234.20375
17.393716,576,260.239952
-20.009896,549,266.48242
29.643387,615,273.52765
-18.767679,536,297.875025
-15.498605,551,304.180942
-17.841365,528,310.32305
191.774161,935,385.029269
38.588578,631,392.56189
11.263222,595,399.449849
-36.998051,571,406.084939
-16.083474,534,431.039072
49.231472,636,438.376977
-14.312344,582,445.088559
120.959292,737,472.302373
122.669678,630,562.904313
-29.531955,565,565.873836
-61.040029,572,582.906107
-65.39596,486,586.770754
138.26979,766,594.465078
141.705095,728,598.661194
118.824427,684,609.657943
-33.14981,517,612.288289
240.096866,740,638.346252
644.369076,1517,652.46976
107.044655,697,662.551216
264.176385,995,667.359667
113.049555,694,670.948433
-23.208443,594,681.776761
231.427687,957,697.689064
42.992232,569,700.32842
-1.17743,571,710.818729
197.621914,778,714.40844
1439.012307,2397,758.388152
-13.409235,547,760.944057
329.055246,1094,773.122705
483.334329,1138,786.23254
690.675521,1397,792.725513
532.004757,1152,853.329751
-33.157127,533,855.862573
235.617286,736,859.388406
915.259145,2181,885.319841
437.0792,918,889.587181
174.472224,697,910.850426
285.106307,905,922.338646
48.873156,565,924.969186
120.093628,732,928.396592
-47.475818,514,938.179689
170.502365,858,942.137506
255.464171,691,945.399264
233.416572,738,973.307518
-15.493881,537,976.377943
87.203993,723,981.043689
-68.161835,467,991.583587
40.343461,609,994.672591
-1.439444,589,997.361158
200.697741,701,1007.836266
135.670287,633,1010.732893
1.505391,634,1048.271362
88.039349,641,1053.136448
209.073773,866,1071.413034
20.28506,663,1076.689573
136.30439,605,1080.759171
434.130597,1229,1095.079865
118.29575,705,1105.076118
259.505171,819,1116.878865
140.032794,735,1120.30125
97.874564,684,1130.716675
48.911133,728,1134.184583
533.946109,1053,1139.772727
129.577236,671,1150.812275
521.432575,1423,1179.579021
134.200671,734,1190.444115
52.923077,552,1192.931469
630.472425,1531,1207.248904
99.533261,634,1210.185357
25.566035,636,1235.334408
721.770728,1292,1248.463935
158.72061,680,1251.545575
32.246098,697,1261.917939
464.812013,1229,1267.649732
368.793678,1145,1299.169306
-17.105701,557,1301.665926
639.464176,1483,1315.623811
-8.320341,556,1318.190169
584.162806,1337,1331.774769
37.166678,678,1334.858674
10.999274,692,1376.103347
369.763474,1173,1388.856055
504.086218,1280,1401.706939
-30.917134,611,1404.38706
137.882724,816,1408.080171
-23.353618,586,1443.003406
132.329608,770,1446.789972
1.330983,656,1449.852942
135.203878,700,1460.594101
-12.817241,797,1464.872727
168.774997,784,1468.301352
94.838527,738,1478.945785
126.405404,701,1540.843702
17.788198,576,1543.49799
105.161983,672,1553.617032
107.100974,632,1556.481786
299.27222,849,1560.318643
28.616299,624,1570.233706
653.795054,1461,1598.551882
-42.849473,560,1608.313816
36.016387,688,1611.666553
187.348074,753,1615.234073
277.398826,1051,1627.642545
376.876569,1214,1640.298733
293.567757,885,1656.628704
492.94793,1463,1670.434044
130.274776,596,1673.262091
357.364375,889,1677.410777
88.580125,611,1687.931534
434.856607,1271,1723.788974
