#{"t_start": 1775206367.266324, "env_id": "AstroExploration-v0"}
r,l,t
117.951161,642,1.6673
-46.700102,567,2.528035
168.968991,739,3.581915
-28.129479,508,8.178692
16.987051,518,8.924648
107.396942,576,9.727608
14.100865,553,14.287986
5.162023,579,15.76297
-0.270826,616,21.76921
685.865445,1159,27.558267
186.349349,637,28.528299
-45.74705,477,29.232103
20.411875,662,33.956304
157.575533,741,35.229239
193.80171,772,36.364561
201.790687,735,49.410661
242.392275,701,50.478838
84.514,614,51.493684
6.002519,506,56.072369
224.653368,875,57.65428
160.942239,748,58.750092
308.269255,976,64.214492
897.368323,2504,91.525576
300.174997,928,94.21657
585.892988,1411,101.53066
134.178807,696,113.756431
188.373327,694,117.955716
202.263664,747,119.121668
330.077789,885,124.490604
34.150816,621,126.200345
29.451059,614,130.063454
259.823953,723,135.896499
-15.675469,603,149.13628
-72.197727,473,149.860682
188.895803,690,150.860599
-56.703498,515,155.471253
-3.387355,603,156.376874
-26.875758,543,157.158928
260.924594,883,162.506237
110.161951,677,163.554273
-30.904748,603,172.374576
285.437531,775,177.428235
98.81614,658,178.408452
519.324969,981,179.813552
499.528862,1180,185.435687
352.052082,912,190.477481
160.2797,724,221.117244
638.029479,1146,224.317331
121.813169,928,229.038138
46.662277,679,230.052327
-4.431047,673,234.954366
146.177141,823,236.302427
68.664563,571,241.011838
118.645992,750,246.136612
143.848416,662,247.197281
601.40992,1290,252.900857
-54.004584,511,254.496012
509.030292,1060,257.602677
504.03869,1344,273.884752
124.267683,643,274.881163
306.643911,902,280.412443
108.319741,769,281.753413
293.552568,950,287.260878
597.526106,1329,292.59919
193.757946,1021,298.047679
267.75797,931,299.434675
516.747113,1180,305.831172
345.242676,1085,307.5398
401.526688,1047,319.554241
188.212736,793,320.732321
310.074105,1091,326.269684
312.776362,1033,327.990834
17.286852,604,328.875268
144.296618,744,338.888813
-5.782588,642,339.870311
-35.952172,518,340.671965
248.502648,980,346.060347
64.849333,563,346.863083
114.737272,759,351.651454
345.710451,1082,353.562356
380.838419,1041,362.66186
341.389966,899,364.032628
465.866003,1271,369.624575
196.480963,967,371.046785
61.01259,669,371.9902
403.000349,1261,394.352266
239.324916,931,406.172808
120.878817,888,410.292791
639.963637,1156,422.48647
306.185155,752,425.184692
389.014639,970,437.07968
-33.70731,90,437.533942
112.632865,788,445.881935
76.309189,589,447.333377
357.419005,1235,455.569023
30.490163,407,456.769403
183.393335,775,458.39088
84.173916,865,473.33444
665.807113,1479,477.694123
304.292844,939,485.275195
976.934041,1942,495.380635
237.579942,858,506.113626
33.602885,720,511.433385
150.051991,1014,514.822061
297.442476,999,523.494437
452.469871,1057,526.320064
131.933585,730,528.842751
264.017941,976,559.652727
184.077501,798,561.676316
570.07661,1353,571.89975
336.776357,1112,575.965825
500.114425,1246,588.258758
149.628835,870,593.648598
30.683824,783,595.045832
176.454322,1064,596.639734
391.830096,1170,602.919978
31.780908,674,603.917898
