#{"t_start": 1775201601.3305702, "env_id": "AstroExploration-v0"}
r,l,t
-60.581321,514,2.653906
-32.768891,551,5.171029
-6.75728,554,7.941338
-18.582037,548,12.926073
-69.08058,517,15.214847
101.838032,632,18.021474
-18.701588,542,20.390115
-65.729277,512,27.103913
23.930176,637,50.372499
197.01369,817,54.313781
-24.913701,510,60.304549
228.888524,669,63.923158
-32.50859,583,66.83715
-47.787427,483,69.388072
267.584993,695,75.5559
-2.692076,539,79.254692
-0.074052,559,82.511352
331.91821,862,108.449316
-43.858657,576,110.863321
-10.939264,546,113.128605
342.779103,869,119.115807
-3.951487,532,121.276058
747.88877,1327,129.272595
-36.786783,512,219.77891
-15.263926,558,222.533415
95.407879,569,225.202457
-3.636776,638,230.696279
65.079019,536,233.173078
-34.838766,509,235.492705
-26.333081,552,240.370426
-57.395466,544,242.886592
-21.183123,536,245.196173
242.527795,797,300.315843
160.977961,739,305.83613
-9.625711,610,308.466825
-48.949776,570,310.927325
22.93351,597,315.871383
18.187205,580,318.566039
-13.86424,543,320.963238
174.303697,602,323.69821
23.720109,597,346.316274
11.934358,551,349.960219
-2.778837,612,353.704044
115.650476,671,360.05403
314.605221,815,364.372674
750.024939,1269,374.499311
285.891407,901,379.479359
393.109031,860,402.914337
-12.395889,638,406.03428
92.815588,702,409.735864
333.525297,851,418.39946
20.791618,616,421.69838
247.814798,803,426.063243
369.941339,1066,477.653484
88.13489,666,480.563934
295.740213,650,483.3125
206.772294,772,490.668906
219.869367,986,495.768735
556.632808,1226,506.195143
178.861609,658,536.470711
605.494129,1790,550.24834
151.922351,641,554.197275
241.245298,894,563.061754
77.855463,608,567.725481
922.521476,1550,663.727181
187.608372,683,669.792859
33.346176,603,680.672354
263.443066,817,686.3437
208.974719,790,692.183661
381.680597,1164,732.495612
452.058736,1285,746.302043
21.581681,634,750.890152
60.49178,678,756.428517
169.503293,746,766.607087
284.567845,858,771.571052
49.403631,724,776.528042
173.545447,674,826.95345
323.935286,867,832.490561
318.540657,789,838.58978
54.848457,600,847.299067
655.093626,1241,855.94678
494.382252,1078,891.7583
241.327632,747,898.901451
223.804968,757,905.305852
346.982102,1104,910.440999
-56.460595,89,910.842262
-66.442592,545,913.487102
366.559325,898,921.131045
507.131008,1499,951.069302
437.709537,1099,956.315145
234.081663,885,963.110685
503.896605,1222,968.816234
269.353053,938,975.977117
232.676565,800,1015.134115
93.786905,763,1018.705138
467.335563,1100,1026.400659
321.951013,781,1029.995187
507.284628,989,1037.40062
699.802404,1071,1059.380911
142.864832,850,1065.858053
1720.898319,3299,1087.356716
575.321138,1205,1119.668642
218.037175,801,1124.073223
171.596897,945,1132.18757
1003.89523,2205,1145.105321
799.190723,1259,1203.050941
153.678741,783,1206.705615
481.37517,1419,1216.087618
135.16621,818,1219.8911
65.331437,877,1223.985176
382.640644,1222,1253.594993
430.834698,1251,1263.027483
421.209569,1107,1269.605555
891.693787,1984,1326.102391
436.080592,1112,1337.393635
24.765163,694,1341.89582
304.434612,1054,1351.029282
898.163317,1815,1366.507599
