algorithm,run_name,learning_rate,gamma,mean_reward,std_reward,max_reward,total_episodes
DQN,dqn_baseline,0.0001,0.995,-87.89246887499999,14.663703530267647,-61.90294,8
DQN,dqn_small_net,0.0001,0.995,-74.21498158,25.501212821430027,82.214477,549
DQN,dqn_high_lr,0.0005,0.995,-67.57645032,31.31982296171997,94.225209,551
DQN,dqn_low_lr,1e-05,0.995,-59.7984206,15.070259172146304,43.322282,552
DQN,dqn_large_buffer,0.0001,0.995,-50.29109259999999,23.995171379462032,228.13111,550
DQN,dqn_soft_update,0.0001,0.995,-81.29270658,23.030405372645387,72.715784,551
DQN,dqn_low_gamma,0.0001,0.95,-67.36611425999999,28.008974418278616,29.315353,537
DQN,dqn_deep_net,0.0001,0.995,-75.59078868,22.57251125726005,992.978315,527
DQN,dqn_med_lr_batch,0.0003,0.995,-69.82821748,24.575544460625938,42.95417,540
DQN,dqn_long_explore,0.0001,0.995,-79.07485507999999,15.077700510160707,1489.11616,596
PPO,ppo_baseline,0.0003,0.995,345.87164566,233.71615891208415,1451.818816,114
PPO,ppo_high_entropy,0.0003,0.995,184.03358271999997,276.531813658934,1892.424723,138
PPO,ppo_low_lr,0.00015,0.995,318.96700188,173.95765811753506,910.517448,109
PPO,ppo_tight_clip,0.0003,0.995,364.7313209,313.4206801495061,1720.898319,118
PPO,ppo_wide_clip,0.0003,0.995,353.83442801999996,325.3890473820842,1668.990118,109
PPO,ppo_more_epochs,0.0003,0.995,214.29583212,218.49256533309816,1439.012307,127
PPO,ppo_small_net,0.0003,0.995,253.83406330000003,201.54198212631806,976.934041,117
PPO,ppo_large_rollout,0.0003,0.995,325.50479772,174.30747053777557,1072.211798,118
PPO,ppo_low_gamma,0.0003,0.95,337.59320484000006,178.0463275361444,1118.230962,104
PPO,ppo_high_lr_deep,0.0005,0.995,253.76244135999997,189.74637035481467,1504.473626,114
REINFORCE,reinforce_baseline,0.001,0.99,202.08570306838777,357.09999413359424,2926.7552856875736,1000
REINFORCE,reinforce_no_baseline,0.001,0.99,391.08549535592067,255.64567323662897,2820.827505114084,1000
REINFORCE,reinforce_low_lr,0.0001,0.99,115.10512271269361,171.16664551830453,1085.8727825791884,1000
REINFORCE,reinforce_high_lr,0.005,0.99,65.01917066280474,89.01577525946229,1615.5425198845555,1000
REINFORCE,reinforce_large_net,0.001,0.99,752.6215791025569,631.5793968162069,3462.3926781631026,1000
REINFORCE,reinforce_small_net,0.001,0.99,209.6309521132792,210.21275793640035,1753.7362149983194,1000
REINFORCE,reinforce_low_gamma,0.001,0.95,448.9847021757725,317.4668919102841,1851.1287557441813,1000
REINFORCE,reinforce_very_low_gamma,0.001,0.9,493.0000952488844,351.4132645025786,1354.1829531115714,1000
REINFORCE,reinforce_deep_net,0.001,0.99,1319.845600012097,424.76967225589897,1940.4788376632896,1000
REINFORCE,reinforce_running_baseline,0.0003,0.99,475.77344839376053,312.70296686519833,1803.8631419932117,1000
